text,label
侮辱國旗被認定有害國家安全及國家生存時，台灣法律是如何規範這類行為？,LEGAL
我想知道臺灣士林地方法院 115 年度交簡上字第 42 號刑事判決這個案子的來龍去脈,JUDGMENT
解釋第359條，並且找出有引用這條的裁判,MIXED
偽造文書印文罪的既遂與未遂怎麼區分？,LEGAL
把臺灣臺南地方法院 115 年度交簡上字第 102 號刑事判決的重點列出來給我,JUDGMENT
聲請定其應執行刑的構成要件與量刑實務，兩方面都想知道,MIXED
初次觸犯妨害自由罪有機會緩刑嗎？法律上的條件是？,LEGAL
臺灣南投地方法院對違反森林法案件一般都怎麼處理？,JUDGMENT
第319條的條文和臺灣南投地方法院 115 年度投交簡字第 255 號刑事判決的適用情形，兩個一起說明,MIXED
第40-2條跟第185-1條條文內容差在哪裡？,LEGAL
臺灣臺南地方法院 114 年度訴字第 2712 號刑事裁定有沒有被上訴或抗告？,JUDGMENT
毀棄損壞會用到的法條和相關裁判都幫我整理,MIXED
外國人、大陸地區人民及香港、澳門居民，得不暫予收容的情形有哪些？,LEGAL
公共危險這種案子以前有判過的先例嗎？,JUDGMENT
以臺灣苗栗地方法院 115 年度苗交簡字第 278 號刑事判決為案例，拆解它適用的法條和法院的論理,MIXED
使用偽造新臺幣購買商品，該行為被發現後會如何處理？,LEGAL
近期妨害性自主的裁判趨勢是什麼？,JUDGMENT
想了解第135條的規定內容，還有實際裁判中法院怎麼認定,MIXED
在情侶雙方同意一起自殺的情況下，如果其中一方自殺未遂，這個人會承擔什麼法律後果？,LEGAL
查一下跟違反毒品危害防制條例有關的裁判給我,JUDGMENT
解釋第94條，並且找出有引用這條的裁判,MIXED
若一人因過失致人於死，台灣法律規定可處以最高多少年有期徒刑？,LEGAL
能不能講解一下臺灣高雄地方法院 115 年度聲字第 1350 號刑事裁定的內容？,JUDGMENT
妨害國交罪的規定和司法實務的認定有沒有落差？舉裁判為例,MIXED
員工在同一雇主下工作滿一年應該享有多少天的特別休假？,LEGAL
臺灣高等法院 臺中分院 115 年度聲字第 1084 號刑事裁定裡法官考量了哪些因素？,JUDGMENT
損害賠償的構成要件與量刑實務，兩方面都想知道,MIXED
墮胎罪要成立需要符合哪些條件？,LEGAL
臺灣臺中地方法院 115 年度易緝字第 95 號刑事判決的裁定理由幫我整理一下,JUDGMENT
第335條的條文和臺灣屏東地方法院 115 年度交簡字第 862 號刑事判決的適用情形，兩個一起說明,MIXED
違規記點可以透過參加什麼方式進行扣減？,LEGAL
臺灣新北地方法院 115 年度易字第 807 號刑事判決的裁定理由幫我整理一下,JUDGMENT
解釋第189-2條，並且找出有引用這條的裁判,MIXED
保安處分屬於公訴罪還是告訴乃論？,LEGAL
我想知道臺灣基隆地方法院 115 年度聲字第 755 號刑事裁定這個案子的來龍去脈,JUDGMENT
時效的規定和司法實務的認定有沒有落差？舉裁判為例,MIXED
依第121條，檢察官需要證明哪些事情？,LEGAL
臺灣高等法院 臺中分院 115 年度聲再字第 154 號刑事裁定最後法院是怎麼處理的？,JUDGMENT
以臺灣高雄地方法院 115 年度侵簡字第 9 號刑事判決為案例，拆解它適用的法條和法院的論理,MIXED
第71條裡的但書是什麼意思？,LEGAL
臺灣臺北地方法院 115 年度審交易字第 356 號刑事判決裡法官考量了哪些因素？,JUDGMENT
第152條的條文和臺灣臺北地方法院 115 年度審交易字第 381 號刑事判決的適用情形，兩個一起說明,MIXED
商標異議訴訟介紹與提起要件？,LEGAL
臺灣臺中地方法院 115 年度聲字第 2767 號刑事裁定最後法院是怎麼處理的？,JUDGMENT
偽造文書印文罪的法定要件是什麼？可以搭配臺灣士林地方法院 115 年度聲保字第 90 號刑事裁定講解嗎？,MIXED
公司經營電子產品製造及批發業，登記為僑外投資事業，當為外國籍總經理、業務經理及技術人員辦理在臺聘僱許可申請時，其於就業服務法第46條規定中，應屬哪一種工作類別?申請員額有無限制?,LEGAL
能不能講解一下臺灣士林地方法院 115 年度聲保字第 90 號刑事裁定的內容？,JUDGMENT
第121條的條文和臺灣彰化地方法院 115 年度簡字第 1921 號刑事判決的適用情形，兩個一起說明,MIXED
若勞工在國定假日上班，雇主應按什麼標準支付加班費？,LEGAL
臺灣臺東地方法院 115 年度聲保字第 37 號刑事裁定裡法官考量了哪些因素？,JUDGMENT
公共危險會用到的法條和相關裁判都幫我整理,MIXED
依第339-4條，檢察官需要證明哪些事情？,LEGAL
臺灣高等法院對殺人未遂等案件一般都怎麼處理？,JUDGMENT
聲請再審會用到的法條和相關裁判都幫我整理,MIXED
112年6月21日總統公布修正刑事訴訟法第376條，修法後原得上訴於第三審之案件，應如何處理？,LEGAL
臺灣新北地方法院 115 年度易字第 807 號刑事判決是關於什麼的案件？,JUDGMENT
從臺灣高雄地方法院 115 年度簡字第 1437 號刑事裁定來看，保安處分在實務上的認定標準是什麼？,MIXED
受拘禁的被害人面對強制猥褻行為，加害人在台灣法律上可能面臨哪些罰則？,LEGAL
臺灣臺東地方法院 115 年度聲保字第 37 號刑事裁定的裁定理由幫我整理一下,JUDGMENT
偽造度量衡罪的法定要件是什麼？可以搭配臺灣臺南地方法院 115 年度訴字第 2032 號刑事判決講解嗎？,MIXED
外國專業人員中的專門性技術性工作包含哪些內容?,LEGAL
查一下跟詐欺等有關的裁判給我,JUDGMENT
如果涉及聲請發還扣押物，法條依據是什麼？之前的裁判怎麼判的？,MIXED
被依第357條起訴的話，辯護上有哪些法定抗辯？,LEGAL
臺灣臺南地方法院 115 年度交簡上字第 102 號刑事判決是關於什麼的案件？,JUDGMENT
從臺灣臺南地方法院 115 年度簡字第 3745 號刑事判決來看，保安處分在實務上的認定標準是什麼？,MIXED
依第192條，檢察官需要證明哪些事情？,LEGAL
近期違反保護令的裁判趨勢是什麼？,JUDGMENT
贓物罪的法定要件是什麼？可以搭配臺灣臺北地方法院 115 年度審原訴字第 211 號民事裁定講解嗎？,MIXED
想確認一下妨害婚姻及家庭罪在刑法中是怎麼定義的,LEGAL
我想知道臺灣高等法院 115 年度聲保字第 1218 號刑事裁定這個案子的來龍去脈,JUDGMENT
以臺灣彰化地方法院 114 年度軍訴字第 3 號刑事裁定為案例，拆解它適用的法條和法院的論理,MIXED
第180條跟第85條條文內容差在哪裡？,LEGAL
查一下跟洗錢防制法等有關的裁判給我,JUDGMENT
脫逃罪的法定要件是什麼？可以搭配臺灣士林地方法院 115 年度聲字第 1042 號刑事裁定講解嗎？,MIXED
企業若未提供足夠的性別平等福利或做出區別對待，可能面臨哪些法律責任？,LEGAL
近期過失傷害的裁判趨勢是什麼？,JUDGMENT
法律上偽造文書印文罪怎麼規定？實際案件裡法院見解一致嗎？,MIXED
如果違反第226-1條，會面臨什麼後果？,LEGAL
我想知道臺灣臺南地方法院 115 年度訴字第 2053 號刑事判決這個案子的來龍去脈,JUDGMENT
瀆職罪的法定要件是什麼？可以搭配臺灣苗栗地方法院 115 年度苗交簡字第 379 號刑事判決講解嗎？,MIXED
若不服法院判決，想提起上訴，該怎麼辦？,LEGAL
違反毒品危害防制條例案件被駁回的裁判多不多？,JUDGMENT
想了解第132條的規定內容，還有實際裁判中法院怎麼認定,MIXED
搶奪強盜及海盜罪屬於公訴罪還是告訴乃論？,LEGAL
臺灣臺北地方法院 115 年度審簡字第 1744 號刑事判決是關於什麼的案件？,JUDGMENT
如果涉及妨害性自主罪等，法條依據是什麼？之前的裁判怎麼判的？,MIXED
被依第339-1條起訴的話，辯護上有哪些法定抗辯？,LEGAL
臺灣士林地方法院對妨害風化案件一般都怎麼處理？,JUDGMENT
從臺灣高等法院 臺南分院 115 年度聲字第 653 號刑事裁定來看，刑之酌科及加減在實務上的認定標準是什麼？,MIXED
第283條在規範什麼行為？,LEGAL
把臺灣士林地方法院 115 年度單禁沒字第 235 號刑事裁定的重點列出來給我,JUDGMENT
第6條的條文和臺灣高等法院 臺中分院 115 年度聲字第 1116 號刑事裁定的適用情形，兩個一起說明,MIXED
依第108條，檢察官需要證明哪些事情？,LEGAL
臺灣高等法院 高雄分院 115 年度聲再字第 73 號刑事裁定的裁定理由幫我整理一下,JUDGMENT
第184條的條文和臺灣高等法院 高雄分院 115 年度聲再字第 74 號刑事裁定的適用情形，兩個一起說明,MIXED
在台灣，哪些賭博行為會被認定為觸法需要處罰？,LEGAL
能不能講解一下臺灣高等法院 高雄分院 115 年度聲再字第 73 號刑事裁定的內容？,JUDGMENT
法律上公共危險罪怎麼規定？實際案件裡法院見解一致嗎？,MIXED
若在公共場所賭博被抓到，可能面臨什麼程度的刑罰？,LEGAL
查一下跟假釋付保護管束有關的裁判給我,JUDGMENT
想了解第113條的規定內容，還有實際裁判中法院怎麼認定,MIXED
若融資公司涉及不當放貸，應該如何處理？,LEGAL
臺灣臺南地方法院 115 年度簡字第 3703 號刑事判決的裁定理由幫我整理一下,JUDGMENT
以臺灣屏東地方法院 115 年度簡字第 398 號刑事判決為案例，拆解它適用的法條和法院的論理,MIXED
何謂裁判不同意見書制度？為何要建立裁判不同意見書制度？,LEGAL
臺灣高雄地方法院最近處理聲請定其應執行刑案件的裁判有哪些？,JUDGMENT
第71條的條文和臺灣士林地方法院 115 年度單禁沒字第 235 號刑事裁定的適用情形，兩個一起說明,MIXED
在台灣，若一人故意且因傾倒或破壞現有人所在的火車、電車或其他供水、陸、空公眾運輸的舟、車、航空機致人於死，將可面臨的最高刑期是多少？,LEGAL
臺灣高等法院 臺中分院 115 年度聲再字第 154 號刑事裁定的裁定理由幫我整理一下,JUDGMENT
竊盜會用到的法條和相關裁判都幫我整理,MIXED
如果民眾在鐵路平交道超車被檢舉，應該承擔什麼樣的罰款範圍？,LEGAL
能不能講解一下臺灣南投地方法院 115 年度原金訴字第 32 號刑事判決的內容？,JUDGMENT
第315-1條的條文和臺灣新竹地方法院 114 年度原易字第 65 號刑事判決的適用情形，兩個一起說明,MIXED
若離職時特別休假未休完，勞工應如何處理未休特休？,LEGAL
臺灣臺南地方法院 115 年度簡字第 3715 號刑事判決最後法院是怎麼處理的？,JUDGMENT
如果涉及違反家庭暴力防治法，法條依據是什麼？之前的裁判怎麼判的？,MIXED
犯了數罪併罰最重會被判多久？,LEGAL
臺灣士林地方法院 115 年度審原交簡字第 21 號刑事判決裡法官考量了哪些因素？,JUDGMENT
如果涉及賭博，法條依據是什麼？之前的裁判怎麼判的？,MIXED
在台灣，若一家境外公司未登記就在台灣經營，可能面臨哪些法律後果？,LEGAL
詐欺等這種案子以前有判過的先例嗎？,JUDGMENT
賭博罪的法定要件是什麼？可以搭配臺灣臺南地方法院 115 年度訴字第 2456 號刑事判決講解嗎？,MIXED
初次觸犯妨害公務罪有機會緩刑嗎？法律上的條件是？,LEGAL
違反毒品危害防制條例這種案子以前有判過的先例嗎？,JUDGMENT
解釋第198條，並且找出有引用這條的裁判,MIXED
如果違反第319條，會面臨什麼後果？,LEGAL
妨害性自主罪等案件被駁回的裁判多不多？,JUDGMENT
解釋第33條，並且找出有引用這條的裁判,MIXED
外籍配偶結婚來台後，請問要多少年才能取得國籍？,LEGAL
臺灣士林地方法院 115 年度單禁沒字第 235 號刑事裁定最後法院是怎麼處理的？,JUDGMENT
恐嚇及擄人勒贖罪的法定要件是什麼？可以搭配臺灣橋頭地方法院 115 年度簡字第 2153 號刑事判決講解嗎？,MIXED
外國人如果結婚來臺灣或在臺灣長期工作，想要辦理中華民國身分證，要準備哪些文件才能辦理？,LEGAL
臺灣臺北地方法院 115 年度簡字第 2226 號刑事判決的裁定理由幫我整理一下,JUDGMENT
從臺灣高等法院 115 年度聲保字第 1210 號刑事裁定來看，之二 易刑在實務上的認定標準是什麼？,MIXED
第49條有規定未遂要處罰嗎？,LEGAL
臺灣新北地方法院 114 年度審易字第 3851 號刑事裁定最後法院是怎麼處理的？,JUDGMENT
法律上妨害婚姻及家庭罪怎麼規定？實際案件裡法院見解一致嗎？,MIXED
經不起訴處分已確定或緩起訴處分期滿未經撤銷者，對於同一案件是否可再行起訴？,LEGAL
我想知道臺灣苗栗地方法院 115 年度苗智簡字第 6 號刑事判決這個案子的來龍去脈,JUDGMENT
從臺灣南投地方法院 115 年度訴字第 112 號刑事判決來看，毀棄損壞罪在實務上的認定標準是什麼？,MIXED
雇主要求員工簽訂最低服務年限或違約金條款，需要符合哪些條件？,LEGAL
臺灣臺南地方法院 114 年度訴字第 2031 號刑事判決的裁定理由幫我整理一下,JUDGMENT
第57條的條文和臺灣臺北地方法院 115 年度交簡字第 1190 號刑事判決的適用情形，兩個一起說明,MIXED
若駕駛人在高速公路上阻礙救援車輛通行，可能會被處以何種處罰？,LEGAL
過失傷害這種案子以前有判過的先例嗎？,JUDGMENT
想了解第319-6條的規定內容，還有實際裁判中法院怎麼認定,MIXED
被依第273條起訴的話，辯護上有哪些法定抗辯？,LEGAL
近期洗錢防制法等的裁判趨勢是什麼？,JUDGMENT
以臺灣臺南地方法院 115 年度附民字第 1285 號刑事判決為案例，拆解它適用的法條和法院的論理,MIXED
新住民發展基金的申請時間為何？,LEGAL
查一下跟詐欺有關的裁判給我,JUDGMENT
解釋第122條，並且找出有引用這條的裁判,MIXED
一般人常誤解妨害秩序罪的地方是什麼？,LEGAL
臺灣臺北地方法院對過失傷害案件一般都怎麼處理？,JUDGMENT
刑之酌科及加減的法定要件是什麼？可以搭配臺灣臺南地方法院 115 年度簡字第 3703 號刑事判決講解嗎？,MIXED
傷害罪的既遂與未遂怎麼區分？,LEGAL
把臺灣南投地方法院 115 年度投交簡字第 247 號刑事判決的重點列出來給我,JUDGMENT
以臺灣臺南地方法院 115 年度簡字第 3303 號刑事判決為案例，拆解它適用的法條和法院的論理,MIXED
之一 妨害性隱私及不實性影像罪的既遂與未遂怎麼區分？,LEGAL
臺灣臺南地方法院 115 年度簡字第 3376 號刑事判決的當事人主張了什麼？,JUDGMENT
從臺灣士林地方法院 115 年度簡上字第 93 號刑事判決來看，時效在實務上的認定標準是什麼？,MIXED
竊盜罪的既遂與未遂怎麼區分？,LEGAL
給我幾件毒品危害防制條例等的裁判當參考資料,JUDGMENT
第41條的條文和臺灣臺南地方法院 115 年度訴字第 1392 號刑事判決的適用情形，兩個一起說明,MIXED
一般人常誤解偽證及誣告罪的地方是什麼？,LEGAL
臺灣臺北地方法院 115 年度審原訴字第 214 號民事裁定裡法官考量了哪些因素？,JUDGMENT
聲請定其應執行刑通常適用哪幾條法律？法院過去都怎麼處理這種案件？,MIXED
外國人可不可以因移民署公務員執行職務時故意或過失不法侵害權利為理由請求國家賠償？?,LEGAL
洗錢防制法等這種案子以前有判過的先例嗎？,JUDGMENT
第246條的條文和臺灣士林地方法院 115 年度侵訴字第 11 號刑事判決的適用情形，兩個一起說明,MIXED
第240條修法前後的差異是什麼？,LEGAL
臺灣彰化地方法院 115 年度簡字第 2171 號刑事判決是關於什麼的案件？,JUDGMENT
從臺灣臺北地方法院 115 年度審原訴字第 204 號民事裁定來看，賭博罪在實務上的認定標準是什麼？,MIXED
員工工資未全額給付的情況，應該如何進行申訴?,LEGAL
臺灣臺北地方法院 115 年度審易字第 1716 號刑事判決最後法院是怎麼處理的？,JUDGMENT
公共危險等的構成要件與量刑實務，兩方面都想知道,MIXED
根據台灣法律，假釋期滿逾多少年者，其假釋不會因再犯被撤銷？,LEGAL
臺灣臺北地方法院 115 年度審易字第 1716 號刑事判決的當事人主張了什麼？,JUDGMENT
解釋第69條，並且找出有引用這條的裁判,MIXED
台灣法律對於融資公司的經營者有何限制?,LEGAL
臺灣高等法院最近處理定應執行刑案件的裁判有哪些？,JUDGMENT
第187-2條的條文和臺灣高雄地方法院 115 年度聲字第 1350 號刑事裁定的適用情形，兩個一起說明,MIXED
新住民發展基金的服務對象為何？,LEGAL
臺灣嘉義地方法院 115 年度嘉簡字第 951 號刑事判決有沒有被上訴或抗告？,JUDGMENT
解釋第146條，並且找出有引用這條的裁判,MIXED
偽證及誣告罪有沒有加重或減輕的規定？,LEGAL
把臺灣高雄地方法院 115 年度審易字第 1237 號刑事裁定的重點列出來給我,JUDGMENT
如果涉及違反洗錢防制法等，法條依據是什麼？之前的裁判怎麼判的？,MIXED
虐童致死在台灣的法律中應如何處罰?,LEGAL
臺灣苗栗地方法院 115 年度苗簡字第 449 號刑事判決的當事人主張了什麼？,JUDGMENT
從臺灣臺北地方法院 115 年度單禁沒字第 394 號刑事裁定來看，妨害性自主罪在實務上的認定標準是什麼？,MIXED
遭遇職場暴力或重大侮辱，勞工有何權利?,LEGAL
把臺灣高雄地方法院 115 年度審交訴字第 125 號刑事裁定的重點列出來給我,JUDGMENT
偽造文書的構成要件與量刑實務，兩方面都想知道,MIXED
若被害人因為遭到毆打導致重傷不治身亡，犯罪行為人可能會面臨哪些法律責任？,LEGAL
把臺灣臺北地方法院 115 年度審簡字第 1597 號刑事判決的重點列出來給我,JUDGMENT
從臺灣高等法院 臺中分院 115 年度金上訴字第 1423 號刑事判決來看，瀆職罪在實務上的認定標準是什麼？,MIXED
外國人未經許可在臺工作，可能違反何種法令？,LEGAL
查一下跟延長監護有關的裁判給我,JUDGMENT
第145條的條文和臺灣高等法院 高雄分院 115 年度聲再字第 74 號刑事裁定的適用情形，兩個一起說明,MIXED
想確認一下褻瀆祀典及侵害墳墓屍體罪在刑法中是怎麼定義的,LEGAL
臺灣臺北地方法院 115 年度自字第 37 號刑事判決的裁定理由幫我整理一下,JUDGMENT
從臺灣臺南地方法院 115 年度交簡字第 1220 號刑事判決來看，瀆職罪在實務上的認定標準是什麼？,MIXED
一般人常誤解刑之酌科及加減的地方是什麼？,LEGAL
臺灣新竹地方法院對聲請定其應執行刑案件一般都怎麼處理？,JUDGMENT
想了解第171條的規定內容，還有實際裁判中法院怎麼認定,MIXED
若一人因為另一人的教唆或幫助而試圖自殺但未遂，幫助者將被依據什麼罪名起訴？,LEGAL
臺灣臺南地方法院 115 年度附民字第 1446 號刑事判決是關於什麼的案件？,JUDGMENT
瀆職罪的法定要件是什麼？可以搭配臺灣高等法院 臺中分院 115 年度金上訴字第 1560 號刑事裁定講解嗎？,MIXED
外籍人士工作許可至115年5月，因護照效期之故，其外僑居留證到期日為113年4月。民眾目前已取得新護照並同時需要變更居住地址，是否能同時延期外僑居留證期間至115年5月？,LEGAL
查一下跟傷害等有關的裁判給我,JUDGMENT
以臺灣高等法院 臺中分院 115 年度上訴字第 439 號刑事判決為案例，拆解它適用的法條和法院的論理,MIXED
犯了公共危險罪最重會被判多久？,LEGAL
把臺灣桃園地方法院 115 年度聲字第 1801 號刑事裁定的重點列出來給我,JUDGMENT
傷害通常適用哪幾條法律？法院過去都怎麼處理這種案件？,MIXED
少年觸犯刑法第185條之3公共危險罪酒醉駕車，經法院裁處保護處分後，仍需依照道路交通管理處罰條例之規定處以酒駕罰鍰嗎？,LEGAL
臺灣南投地方法院 115 年度聲字第 283 號刑事裁定是關於什麼的案件？,JUDGMENT
從臺灣高等法院 115 年度聲字第 1889 號刑事裁定來看，鴉片罪在實務上的認定標準是什麼？,MIXED
公然猥褻行為的刑事責任包括哪些處罰？,LEGAL
我想知道臺灣士林地方法院 115 年度審原交簡字第 21 號刑事判決這個案子的來龍去脈,JUDGMENT
藏匿人犯及湮滅證據罪的法定要件是什麼？可以搭配臺灣高等法院 臺中分院 115 年度聲字第 1085 號刑事裁定講解嗎？,MIXED
何謂「有確保裁判見解統一之必要」？,LEGAL
把臺灣士林地方法院 115 年度訴字第 573 號刑事判決的重點列出來給我,JUDGMENT
違反毒品危害防制條例通常適用哪幾條法律？法院過去都怎麼處理這種案件？,MIXED
依第359條，檢察官需要證明哪些事情？,LEGAL
臺灣南投地方法院 114 年度訴字第 226 號刑事判決有沒有被上訴或抗告？,JUDGMENT
想了解第247條的規定內容，還有實際裁判中法院怎麼認定,MIXED
第147條修法前後的差異是什麼？,LEGAL
給我幾件違反醫療法的裁判當參考資料,JUDGMENT
妨害名譽通常適用哪幾條法律？法院過去都怎麼處理這種案件？,MIXED
第294條有規定未遂要處罰嗎？,LEGAL
把臺灣高等法院 115 年度聲字第 1610 號刑事裁定的重點列出來給我,JUDGMENT
妨害自由罪的法定要件是什麼？可以搭配臺灣士林地方法院 115 年度訴字第 191 號刑事判決講解嗎？,MIXED
在台有戶籍國民之外籍配偶是否須申請工作證始得在台工作？,LEGAL
近期重利的裁判趨勢是什麼？,JUDGMENT
第34條的條文和臺灣高雄地方法院 115 年度審附民字第 1107 號刑事判決的適用情形，兩個一起說明,MIXED
一般人常誤解鴉片罪的地方是什麼？,LEGAL
臺灣新竹地方法院 114 年度原易字第 65 號刑事判決是關於什麼的案件？,JUDGMENT
如果涉及妨害自由等，法條依據是什麼？之前的裁判怎麼判的？,MIXED
我是外國人，請問老闆扣留我的護照、居留證時該怎麼辦?,LEGAL
臺灣臺南地方法院 114 年度訴字第 2031 號刑事判決有沒有被上訴或抗告？,JUDGMENT
第42-1條的條文和臺灣士林地方法院 115 年度訴字第 188 號刑事判決的適用情形，兩個一起說明,MIXED
妨害自由罪有沒有加重或減輕的規定？,LEGAL
臺灣高雄地方法院 115 年度簡字第 1437 號刑事裁定最後法院是怎麼處理的？,JUDGMENT
法例的法定要件是什麼？可以搭配臺灣臺北地方法院 115 年度審簡字第 1744 號刑事判決講解嗎？,MIXED
在台灣，一位勞工每週最多可被要求工作幾小時？,LEGAL
臺灣新竹地方法院 115 年度訴字第 912 號刑事判決有沒有被上訴或抗告？,JUDGMENT
想了解第208條的規定內容，還有實際裁判中法院怎麼認定,MIXED
何種條件可以申請依親居留證？,LEGAL
違反性侵害犯罪防治法案件被駁回的裁判多不多？,JUDGMENT
違反槍砲彈藥刀械管制條例等通常適用哪幾條法律？法院過去都怎麼處理這種案件？,MIXED
第321條有規定未遂要處罰嗎？,LEGAL
臺灣高雄地方法院 115 年度重訴字第 138 號民事判決最後法院是怎麼處理的？,JUDGMENT
想了解第60條的規定內容，還有實際裁判中法院怎麼認定,MIXED
想確認一下偽造度量衡罪在刑法中是怎麼定義的,LEGAL
臺灣士林地方法院對妨害性自主案件一般都怎麼處理？,JUDGMENT
想了解第161條的規定內容，還有實際裁判中法院怎麼認定,MIXED
第346條裡的但書是什麼意思？,LEGAL
近期毒品危害防制條例的裁判趨勢是什麼？,JUDGMENT
聲請定其應執行刑等會用到的法條和相關裁判都幫我整理,MIXED
少年有前案，會不會影響未來報考軍校或考公職、警職？,LEGAL
延長監護這種案子以前有判過的先例嗎？,JUDGMENT
搶奪強盜及海盜罪的法定要件是什麼？可以搭配臺灣高雄地方法院 115 年度聲字第 1327 號刑事裁定講解嗎？,MIXED
被依第219條起訴的話，辯護上有哪些法定抗辯？,LEGAL
臺灣士林地方法院 114 年度原易字第 19 號刑事判決最後法院是怎麼處理的？,JUDGMENT
解釋第239條，並且找出有引用這條的裁判,MIXED
若14歲以上未滿18歲的少年犯罪，台灣法律如何減輕其刑責?,LEGAL
近期詐欺等的裁判趨勢是什麼？,JUDGMENT
宣告沒收的構成要件與量刑實務，兩方面都想知道,MIXED
被依第243條起訴的話，辯護上有哪些法定抗辯？,LEGAL
臺灣臺南地方法院最近處理山坡地保育利用條例案件的裁判有哪些？,JUDGMENT
解釋第178條，並且找出有引用這條的裁判,MIXED
依第172-2條，檢察官需要證明哪些事情？,LEGAL
臺灣臺南地方法院 115 年度交易字第 467 號刑事判決最後法院是怎麼處理的？,JUDGMENT
妨害名譽及信用罪的法定要件是什麼？可以搭配臺灣臺北地方法院 115 年度審簡字第 1597 號刑事判決講解嗎？,MIXED
一般人常誤解之一 妨害性隱私及不實性影像罪的地方是什麼？,LEGAL
臺灣臺南地方法院最近處理違反保護令案件的裁判有哪些？,JUDGMENT
解釋第264條，並且找出有引用這條的裁判,MIXED
如果一家公司被爆出積欠旗下員工至少2個月的薪水，受害者該如何利用民事訴訟法保護自己的權益？,LEGAL
臺灣士林地方法院最近處理毒品危害防制條例案件的裁判有哪些？,JUDGMENT
偽證及誣告罪的法定要件是什麼？可以搭配臺灣高雄地方法院 115 年度聲字第 1327 號刑事裁定講解嗎？,MIXED
贓物罪屬於公訴罪還是告訴乃論？,LEGAL
臺灣高雄地方法院 114 年度侵訴字第 36 號刑事裁定是關於什麼的案件？,JUDGMENT
妨害公務罪的規定和司法實務的認定有沒有落差？舉裁判為例,MIXED
禮讓行人時，若因此停車被檢舉，駕駛有哪些申訴途徑？,LEGAL
臺灣彰化地方法院 115 年度簡字第 807 號刑事裁定最後法院是怎麼處理的？,JUDGMENT
第230條的條文和臺灣臺南地方法院 115 年度單禁沒字第 122 號刑事裁定的適用情形，兩個一起說明,MIXED
臺灣地區人民如何收養大陸地區人民為養子女？,LEGAL
能不能講解一下臺灣高等法院 臺中分院 115 年度聲保字第 553 號刑事裁定的內容？,JUDGMENT
從臺灣臺南地方法院 115 年度簡字第 3745 號刑事判決來看，未遂犯在實務上的認定標準是什麼？,MIXED
